# integrals: gal_nbwsq   = 725.569
# integrals: gal_nbsqwsq = 0.366816
# integrals: rand_nbwsq   = 3.59842
# integrals: rand_nbsqwsq = 0.366804
# power spectrum values
1 0.000804248 1 1
2 0.00241274 0.764496 5
3 0.00402124 0.580136 8
4 0.00562973 0.41161 9
5 0.00723823 0.249534 28
6 0.00884672 0.111314 25
7 0.0104552 0.0935948 32
8 0.0120637 0.0416795 45
9 0.0136722 0.0202328 100
10 0.0152807 0.00811377 85
11 0.0168892 0.0042767 80
12 0.0184977 0.00340337 117
13 0.0201062 0.0025091 152
14 0.0217147 0.00249347 169
15 0.0233232 0.00189148 168
16 0.0249317 0.00181445 245
17 0.0265402 0.00132858 240
18 0.0281487 0.00110601 241
19 0.0297572 0.000755752 340
20 0.0313657 0.000604995 305
21 0.0329742 0.000388898 376
22 0.0345827 0.000316567 445
23 0.0361911 0.000204213 432
24 0.0377996 0.000206062 497
25 0.0394081 0.000189239 476
26 0.0410166 0.000206329 577
27 0.0426251 0.000186829 632
28 0.0442336 0.000182067 645
29 0.0458421 0.000141034 672
30 0.0474506 0.000113745 829
31 0.0490591 7.23812e-05 836
32 0.0506676 5.98677e-05 785
33 0.0522761 4.06746e-05 944
34 0.0538846 4.34352e-05 993
35 0.0554931 4.04171e-05 1024
36 0.0571016 5.01014e-05 1049
37 0.0587101 4.67215e-05 1164
38 0.0603186 4.95252e-05 1345
39 0.0619271 4.11807e-05 1192
40 0.0635356 3.68337e-05 1369
41 0.0651441 2.68212e-05 1328
42 0.0667526 2.18952e-05 1649
43 0.0683611 1.59201e-05 1341
44 0.0699696 1.61429e-05 1772
45 0.071578 1.47349e-05 1677
46 0.0731865 1.75972e-05 1828
47 0.074795 1.87661e-05 1769
48 0.0764035 1.96248e-05 2012
49 0.078012 1.90491e-05 2093
50 0.0796205 1.69994e-05 2044
51 0.081229 1.44093e-05 2137
52 0.0828375 1.14031e-05 2284
53 0.084446 8.50022e-06 2369
54 0.0860545 7.34344e-06 2428
55 0.087663 6.83928e-06 2473
56 0.0892715 7.12125e-06 2908
57 0.09088 8.25622e-06 2657
58 0.0924885 8.65554e-06 2740
59 0.094097 9.23826e-06 2929
60 0.0957055 8.49438e-06 3072
61 0.097314 7.89043e-06 3145
62 0.0989225 6.44958e-06 3152
63 0.100531 5.45925e-06 3321
64 0.102139 4.20019e-06 3524
65 0.103748 3.95329e-06 3649
66 0.105356 3.64951e-06 3668
67 0.106965 4.28615e-06 3757
68 0.108573 4.41245e-06 3952
69 0.110182 5.14747e-06 3777
70 0.11179 4.94036e-06 4216
71 0.113399 4.89437e-06 4221
72 0.115007 4.17541e-06 4416
73 0.116616 3.77149e-06 4561
74 0.118224 2.87367e-06 4708
75 0.119833 2.72997e-06 4629
76 0.121441 2.25986e-06 4904
77 0.12305 2.61852e-06 5125
78 0.124658 2.58028e-06 4988
79 0.126267 3.05459e-06 5317
80 0.127875 3.03224e-06 5296
81 0.129484 3.2293e-06 5573
82 0.131092 2.83756e-06 5484
83 0.132701 2.7304e-06 5921
84 0.134309 2.09375e-06 5793
85 0.135918 2.02441e-06 6436
86 0.137526 1.55805e-06 6125
87 0.139135 1.71357e-06 6172
88 0.140743 1.64502e-06 6961
89 0.142352 1.87717e-06 6488
90 0.14396 1.94757e-06 6685
